spec_id,family,link_tech,N,hop_count,bw_eff_gbps,bisection_bw_gbps,switch_count,links_per_gpu,is_switched,supports_nvls,feasible,embedding,step_count_ring,step_count_tree,step_count_nvls,cost_total
topo000,ring,direct_electrical,128,1.0,200,200,0,2,0,0,1,identity,254,14,2,25728.0
topo001,fullmesh,direct_electrical,128,1.0,12700,812800.0,0,127,0,0,1,identity,254,14,2,1625728.0
topo002,hypercube,direct_electrical,128,1.0,700,6400.0,0,7,0,0,1,gray_code,254,14,2,89728.0
topo003,hypercube,direct_optical,128,1.0,1400,12800.0,0,7,0,0,1,gray_code,254,14,2,672128.0
topo004,3d_torus,direct_electrical,128,1.0,600,3200.0,0,6,0,0,0,serpentine,254,14,2,76928.0
topo005,3d_torus,direct_optical,128,1.0,1200,6400.0,0,6,0,0,0,serpentine,254,14,2,576128.0
topo006,3d_torus,direct_electrical,128,1.0,600,3200.0,0,6,0,0,0,serpentine,254,14,2,76928.0
topo007,3d_torus,direct_optical,128,1.0,1200,6400.0,0,6,0,0,0,serpentine,254,14,2,576128.0
topo008,3d_torus,direct_electrical,128,1.0,600,3200.0,0,6,0,0,0,serpentine,254,14,2,76928.0
topo009,3d_torus,direct_optical,128,1.0,1200,6400.0,0,6,0,0,0,serpentine,254,14,2,576128.0
topo010,3d_torus,direct_electrical,128,1.0,600,1600.0,0,6,0,0,0,serpentine,254,14,2,76928.0
topo011,3d_torus,direct_optical,128,1.0,1200,3200.0,0,6,0,0,0,serpentine,254,14,2,576128.0
topo012,mesh2d,direct_electrical,128,1.0,400,3200.0,0,4,0,0,1,serpentine,254,14,2,51328.0
topo013,mesh2d,direct_optical,128,1.0,800,6400.0,0,4,0,0,1,serpentine,254,14,2,384128.0
topo014,mesh2d,direct_electrical,128,1.0,400,1600.0,0,4,0,0,1,serpentine,254,14,2,51328.0
topo015,mesh2d,direct_optical,128,1.0,800,3200.0,0,4,0,0,1,serpentine,254,14,2,384128.0
topo016,mesh2d,direct_electrical,128,1.0,400,800.0,0,4,0,0,1,serpentine,254,14,2,51328.0
topo017,mesh2d,direct_optical,128,1.0,800,1600.0,0,4,0,0,1,serpentine,254,14,2,384128.0
topo018,2dfullmesh,direct_electrical,128,1.0,400,3200.0,0,4,0,0,1,snake,254,14,2,51328.0
topo019,2dfullmesh,direct_optical,128,1.0,800,6400.0,0,4,0,0,1,snake,254,14,2,384128.0
topo020,2dfullmesh,direct_electrical,128,1.0,400,1600.0,0,4,0,0,1,snake,254,14,2,51328.0
topo021,2dfullmesh,direct_optical,128,1.0,800,3200.0,0,4,0,0,1,snake,254,14,2,384128.0
topo022,2dfullmesh,direct_electrical,128,1.0,400,800.0,0,4,0,0,1,snake,254,14,2,51328.0
topo023,2dfullmesh,direct_optical,128,1.0,800,1600.0,0,4,0,0,1,snake,254,14,2,384128.0
topo024,switched,xccl_optical,128,1.0,4800,307200.0,18,8,1,1,1,nodeid_sorted,254,14,2,912128.0
topo025,switched,xccl_optical,128,1.0,9600,614400.0,18,16,1,1,1,nodeid_sorted,254,14,2,1680128.0
topo026,switched,xccl_optical,128,1.0,10800,691200.0,18,18,1,1,1,nodeid_sorted,254,14,2,1872128.0
topo027,nvl72,xccl_optical,128,1.0,10800,691200.0,18,18,1,0,1,nodeid_sorted,254,14,2,1872128.0
topo028,nvl72,xccl_optical,128,1.0,10800,691200.0,18,18,1,0,1,nodeid_sorted,254,14,2,1872128.0
topo029,nvl72,xccl_optical,128,1.0,3600,230400.0,6,6,1,0,1,nodeid_sorted,254,14,2,624128.0
topo030,multiplane,xccl_optical,128,1.0,4800,76800.0,2,8,1,0,1,nodeid_sorted,254,14,2,784128.0
topo031,multiplane,xccl_optical,128,1.0,9600,153600.0,4,16,1,0,1,nodeid_sorted,254,14,2,1568128.0
topo032,multiplane,xccl_optical,128,1.0,19200,307200.0,8,32,1,0,1,nodeid_sorted,254,14,2,3136128.0
topo033,leafspine,xccl_optical,128,1.062992125984252,4800,76800.0,16,8,0,0,1,nodeid_sorted,254,14,2,832128.0
topo034,leafspine,roce_optical,128,1.062992125984252,3200,51200.0,16,8,0,0,1,nodeid_sorted,254,14,2,832128.0
topo035,leafspine,xccl_optical,128,1.031496062992126,4800,76800.0,20,8,0,0,1,nodeid_sorted,254,14,2,848128.0
topo036,leafspine,roce_optical,128,1.031496062992126,3200,51200.0,20,8,0,0,1,nodeid_sorted,254,14,2,848128.0
topo037,leafspine,xccl_optical,128,1.125984251968504,4800,76800.0,20,8,0,0,1,nodeid_sorted,254,14,2,848128.0
topo038,leafspine,roce_optical,128,1.125984251968504,3200,51200.0,20,8,0,0,1,nodeid_sorted,254,14,2,848128.0
topo039,3levelhier,xccl_optical,128,1.062992125984252,4800,76800.0,20,8,0,0,1,nodeid_sorted,254,14,2,848128.0
